Ref,Val,Package,PosX,PosY,Rot,Side
"FID1","Fiducial","Fiducial_1mm_Mask2mm",2.700000,182.400000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",-21.300000,108.400000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",113.250000,185.550000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",102.700000,98.400000,0.000000,top
"FID5","Fiducial","Fiducial_1mm_Mask2mm",254.900000,183.600000,0.000000,top
"FID6","Fiducial","Fiducial_1mm_Mask2mm",246.700000,100.600000,0.000000,top
"J7","Conn_02x05_Odd_Even","PinSocket_2x05_P1.27mm_Vertical_SMD",86.607400,154.519800,180.000000,top
"J8","Conn_02x05_Odd_Even","PinSocket_2x05_P1.27mm_Vertical_SMD",-19.730000,123.500000,0.000000,top
