Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R15","13k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.497600,143.404800,270.000000,bottom
"R16","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-45.750000,131.050000,90.000000,bottom
"R17","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-48.150000,134.400000,180.000000,bottom
"R18","16k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.800000,126.550000,270.000000,bottom
"R19","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,131.050000,0.000000,bottom
"R26","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,141.450000,0.000000,bottom
"R28","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.150000,139.200000,180.000000,bottom
"R29","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-38.750000,131.050000,180.000000,bottom
"R30","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-38.750000,132.950000,180.000000,bottom
"R31","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-43.850000,131.050000,90.000000,bottom
"R32","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.830000,141.300000,0.000000,bottom
"R202","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,133.850000,180.000000,bottom
"R203","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-42.750000,162.350000,90.000000,bottom
"R204","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-43.650000,159.550000,0.000000,bottom
"R205","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,131.300000,180.000000,bottom
"R206","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.150000,143.300000,180.000000,bottom
"R207","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.150000,141.250000,0.000000,bottom
"R212","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-47.650000,175.350000,90.000000,bottom
"R213","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-45.750000,175.350000,270.000000,bottom
"R214","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-45.750000,180.300000,90.000000,bottom
"R215","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-47.650000,180.300000,90.000000,bottom
"R216","270","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-26.650000,169.350000,180.000000,bottom
"R217","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-35.200000,174.750000,180.000000,bottom
"R218","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-157.050000,179.200000,0.000000,bottom
"R219","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-157.050000,175.400000,180.000000,bottom
"R220","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-142.050000,177.300000,0.000000,bottom
"R221","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-138.350000,173.500000,180.000000,bottom
"R222","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-157.050000,177.300000,0.000000,bottom
"R223","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-142.050000,175.400000,0.000000,bottom
"R224","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-153.350000,175.400000,0.000000,bottom
"R225","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-142.050000,173.500000,0.000000,bottom
"R226","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-138.700000,163.450000,180.000000,bottom
"R227","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-138.700000,161.550000,180.000000,bottom
"R228","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-122.018000,176.257000,270.000000,bottom
"R229","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-138.350000,177.300000,180.000000,bottom
"R230","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-142.211000,182.217000,270.000000,bottom
