Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C97","15pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,51.800000,0.000000,bottom
"C98","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.625000,89.200000,180.000000,bottom
"C99","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,84.750000,225.000000,bottom
"C100","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",218.500000,84.750000,225.000000,bottom
"C101","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",230.500000,84.750000,225.000000,bottom
"C102","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",242.500000,84.750000,225.000000,bottom
"C103","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",254.500000,84.750000,225.000000,bottom
"C104","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",272.500000,84.750000,225.000000,bottom
"C105","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",284.500000,84.750000,225.000000,bottom
"C204","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,47.700000,0.000000,bottom
"C205","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,45.800000,0.000000,bottom
"C211","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.500000,61.250000,180.000000,bottom
"C218","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,55.750000,180.000000,bottom
"C219","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.050000,38.050000,0.000000,bottom
"C221","2.2uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",43.700000,34.450000,270.000000,bottom
"C222","2.2uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.300000,52.900000,90.000000,bottom
"C226","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.000000,45.850000,90.000000,bottom
"C232","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",125.222300,55.500900,90.000000,bottom
