Designator,Value,Package,Mid X, Mid Y,Rotation,Layer
"D21","SM4007PL","D_SOD-123F",143.200000,-80.600000,270.000000,bottom
"D22","SM4007PL","D_SOD-123F",179.200000,-80.600000,270.000000,bottom
"D23","SM4007PL","D_SOD-123F",197.200000,-80.600000,270.000000,bottom
"D24","SM4007PL","D_SOD-123F",233.200000,-80.600000,270.000000,bottom
"D25","SM4007PL","D_SOD-123F",251.200000,-80.600000,270.000000,bottom
"D26","SM4007PL","D_SOD-123F",269.200000,-80.600000,270.000000,bottom
"D27","SM4007PL","D_SOD-123F",222.200000,-60.350000,135.000000,bottom
"D28","SM4007PL","D_SOD-123F",234.200000,-60.350000,135.000000,bottom
"D29","SM4007PL","D_SOD-123F",246.200000,-60.350000,135.000000,bottom
"D30","SM4007PL","D_SOD-123F",258.200000,-60.350000,135.000000,bottom
"D31","SM4007PL","D_SOD-123F",270.200000,-60.350000,135.000000,bottom
"D32","SM4007PL","D_SOD-123F",288.200000,-60.350000,135.000000,bottom
"D33","SM4007PL","D_SOD-123F",300.200000,-60.350000,135.000000,bottom
"D34","SM4007PL","D_SOD-123F",222.200000,-48.350000,135.000000,bottom
"D35","SM4007PL","D_SOD-123F",234.200000,-48.350000,135.000000,bottom
"D36","SM4007PL","D_SOD-123F",246.200000,-48.350000,135.000000,bottom
"D37","SM4007PL","D_SOD-123F",258.200000,-48.350000,135.000000,bottom
"D38","SM4007PL","D_SOD-123F",270.200000,-48.350000,135.000000,bottom
"D39","SM4007PL","D_SOD-123F",288.200000,-48.350000,135.000000,bottom
"D40","SM4007PL","D_SOD-123F",300.200000,-48.350000,135.000000,bottom
"D41","SM4007PL","D_SOD-123F",222.200000,-36.350000,135.000000,bottom
"D42","SM4007PL","D_SOD-123F",234.200000,-36.350000,135.000000,bottom
"D43","SM4007PL","D_SOD-123F",246.200000,-36.350000,135.000000,bottom
"D44","SM4007PL","D_SOD-123F",258.200000,-36.350000,135.000000,bottom
"D45","SM4007PL","D_SOD-123F",270.200000,-36.350000,135.000000,bottom
"D46","SM4007PL","D_SOD-123F",288.200000,-36.350000,135.000000,bottom
"D47","SM4007PL","D_SOD-123F",300.200000,-36.350000,135.000000,bottom
"D48","15V BI TVS","D_SOD-123F",40.220000,-28.600000,90.000000,bottom
"D49","15V ZENER","D_SOD-123",34.970000,-32.600000,0.000000,bottom
"D50","6V BI TVS","D_SOD-123F",206.200000,-26.850000,90.000000,bottom
"D51","6V BI TVS","D_SOD-123F",203.450000,-26.850000,90.000000,bottom
"D52","6V BI TVS","D_SOD-123F",195.538000,-13.893000,270.000000,bottom
"D53","6V BI TVS","D_SOD-123F",193.125000,-13.893000,270.000000,bottom
"D54","SS34","D_SMA",19.335200,-72.155400,270.000000,bottom
"D55","6V BI TVS","D_SOD-123F",180.679000,-13.893000,270.000000,bottom
"D56","6V BI TVS","D_SOD-123F",178.393000,-13.893000,270.000000,bottom
"D57","RED LED","LED_0603_1608Metric",47.450000,-57.350000,180.000000,bottom
"D58","SM4007PL","D_SOD-123F",222.200000,-24.350000,135.000000,bottom
"D59","SM4007PL","D_SOD-123F",234.200000,-24.350000,135.000000,bottom
"D60","SM4007PL","D_SOD-123F",246.200000,-24.350000,135.000000,bottom
"D61","SM4007PL","D_SOD-123F",258.200000,-24.350000,135.000000,bottom
"D62","SM4007PL","D_SOD-123F",270.200000,-24.350000,135.000000,bottom
"D63","SM4007PL","D_SOD-123F",288.200000,-24.350000,135.000000,bottom
"D64","SM4007PL","D_SOD-123F",300.200000,-24.350000,135.000000,bottom
"D65","SS34","D_SMA",28.970000,-44.350000,270.000000,bottom
"D202","SM4007PL","D_SOD-123F",35.200000,-51.600000,90.000000,bottom
"D203","SM4007PL","D_SOD-123F",89.200000,-51.600000,90.000000,bottom
"D204","SM4007PL","D_SOD-123F",62.200000,-31.600000,90.000000,bottom
"D205","SM4007PL","D_SOD-123F",116.200000,-31.600000,180.000000,bottom
"D206","1N4148W","D_SOD-123",75.200000,-19.400000,180.000000,bottom
"DC201","Barrel Jack, 2.0mmID, 6.5mmOD","BarrelJack_2.0mmID_6.5mmOD",38.470000,-8.600000,180.000000,bottom
"FID7","Fiducial","Fiducial_1mm_Mask2mm",43.200000,-14.100000,0.000000,bottom
"FID8","Fiducial","Fiducial_1mm_Mask2mm",19.200000,-88.100000,0.000000,bottom
"FID9","Fiducial","Fiducial_1mm_Mask2mm",153.750000,-10.950000,0.000000,bottom
"FID10","Fiducial","Fiducial_1mm_Mask2mm",143.200000,-98.100000,0.000000,bottom
"FID11","Fiducial","Fiducial_1mm_Mask2mm",295.400000,-12.900000,0.000000,bottom
"FID12","Fiducial","Fiducial_1mm_Mask2mm",287.200000,-95.900000,0.000000,bottom
"J206","Conn_02x06","Harwin_M20-7810645_2x06_P2.54mm_Vertical_SolderHoles",207.230000,-37.600000,270.000000,bottom
"J207","Conn_02x03","Harwin_M20-7810345_2x03_P2.54mm_Vertical_SolderHoles",167.860000,-37.600000,270.000000,bottom
"L1","15uH","L_6.6x7.1",23.470000,-36.015000,90.000000,bottom
"L2","6.8uH","L_Sunlord_MWSA0518_5.4x5.2mm",29.393600,-63.595600,0.000000,bottom
"Q1","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",35.200000,-28.800000,90.000000,bottom
"Q2","2N7002","SOT-23",19.894000,-64.707800,90.000000,bottom
"R1","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-31.600000,0.000000,bottom
"R2","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.250000,-27.450000,90.000000,bottom
"R3","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-60.100000,180.000000,bottom
"R4","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-57.850000,180.000000,bottom
"R5","30k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.535600,-75.711400,180.000000,bottom
"R6","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.950000,-50.350000,0.000000,bottom
"R7","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.500000,-35.250000,180.000000,bottom
"R8","68k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.400200,-69.920200,270.000000,bottom
"R9","3.3k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.580800,-77.895800,180.000000,bottom
"R10","12k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",33.406800,-69.869400,270.000000,bottom
"R11","4.3k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.902400,-53.095200,270.000000,bottom
"R12","180k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.580800,-80.740600,180.000000,bottom
"R13","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.220000,-25.100000,0.000000,bottom
"R14","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.802400,-53.095200,90.000000,bottom
"R15","13k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.002400,-53.095200,270.000000,bottom
"R16","100k","R_0805_2012Metric",85.950000,-65.450000,90.000000,bottom
