Ref,Val,Package,PosX,PosY,Rot,Side
"FID8","Fiducial","Fiducial_1mm_Mask2mm",-16.100000,122.350000,0.000000,bottom
"FID9","Fiducial","Fiducial_1mm_Mask2mm",100.700000,182.400000,0.000000,bottom
"FID10","Fiducial","Fiducial_1mm_Mask2mm",113.100000,118.850000,0.000000,bottom
"FID11","Fiducial","Fiducial_1mm_Mask2mm",227.801041,184.013782,0.000000,bottom
"FID12","Fiducial","Fiducial_1mm_Mask2mm",241.750000,115.850000,0.000000,bottom
"J1","Conn_01x20","X10B25L20T_FPC_1x20-1MP_P1.00mm_Horizontal",154.831800,138.263800,0.000000,bottom
